timestamp,open,high,low,close,volume
1766532600000,87411.39,87520.87,87386.86,87486.0,235.27172
1766534400000,87486.0,87653.84,87264.0,87352.89,217.8804
1766536200000,87352.9,87672.26,87278.12,87660.47,176.55779
1766538000000,87660.47,87839.66,87608.0,87665.86,170.26082
1766539800000,87665.87,87762.15,87500.0,87632.51,143.13269
1766541600000,87632.51,87658.07,87335.0,87418.25,254.38068
1766543400000,87418.26,87469.15,86940.76,87134.39,332.83573
1766545200000,87134.39,87260.97,86863.88,87230.26,180.31655
1766547000000,87230.26,87392.61,87230.25,87336.23,123.5242
1766548800000,87336.23,87458.54,87300.0,87312.46,161.52437
1766550600000,87312.47,87338.05,87083.5,87147.65,127.07557
1766552400000,87147.64,87248.79,87050.01,87159.99,125.55751
1766554200000,87160.0,87174.55,86796.65,86957.9,219.28354
1766556000000,86957.89,87015.38,86802.03,86979.68,207.39981
1766557800000,86979.69,87071.64,86928.24,87019.21,162.98526
1766559600000,87019.21,87077.67,86980.0,86995.39,148.86982
1766561400000,86995.39,87184.57,86911.52,86911.53,196.94154
1766563200000,86911.53,87077.67,86800.0,86940.76,161.92504
1766565000000,86940.77,86977.44,86769.32,86795.56,153.16759
1766566800000,86795.56,86890.44,86795.56,86839.99,104.90576
1766568600000,86840.0,86903.17,86724.05,86812.8,125.7304
1766570400000,86812.8,87116.72,86812.79,87042.89,148.73717
1766572200000,87042.9,87196.0,87042.89,87077.66,143.74526
1766574000000,87077.66,87359.59,87077.66,87228.38,244.37192
1766575800000,87228.39,87304.86,87195.47,87203.94,105.78691
1766577600000,87203.94,87400.0,87129.47,87322.06,172.63054
1766579400000,87322.07,87478.59,87310.35,87428.51,135.59868
1766581200000,87428.5,87440.24,87240.02,87269.99,147.43032
1766583000000,87269.99,87317.92,87038.44,87286.9,256.14169
1766584800000,87286.9,87448.49,87200.01,87241.03,149.35845
1766586600000,87241.03,87286.91,86420.0,86994.7,757.03392
1766588400000,86994.7,87200.0,86580.0,86858.19,367.60732
1766590200000,86858.2,87218.69,86835.13,87049.99,314.72805
1766592000000,87050.0,87200.0,86917.25,86970.0,271.19279
1766593800000,86970.0,87670.0,86969.99,87283.23,587.87542
1766595600000,87283.23,87478.59,87278.12,87461.34,244.38509
1766597400000,87461.34,87576.68,87255.06,87322.77,168.17621
1766599200000,87322.77,87500.67,87233.93,87413.71,180.13756
1766601000000,87413.71,87500.0,87387.0,87470.65,77.54844
1766602800000,87470.64,87502.39,87329.9,87491.03,130.36098
1766604600000,87491.02,87578.81,87462.88,87566.06,86.77279
1766606400000,87566.07,87679.05,87541.32,87619.91,113.31931
1766608200000,87619.92,87674.52,87516.77,87556.2,73.10958
1766610000000,87556.21,87769.23,87556.2,87720.43,87.98592
1766611800000,87720.43,87795.65,87659.48,87696.33,96.57545
1766613600000,87696.34,87900.0,87696.33,87786.28,89.25348
1766615400000,87786.28,88049.89,87747.15,88009.81,235.22901
1766617200000,88009.82,88023.57,87599.14,87599.14,177.2054
1766619000000,87599.15,87729.26,87599.14,87669.45,84.29047
1766620800000,87669.44,87749.0,87562.0,87626.61,101.98551
1766622600000,87626.61,87703.0,87508.52,87568.37,70.92505
1766624400000,87568.37,87740.0,87567.42,87705.95,60.66336
1766626200000,87705.95,87748.78,87580.67,87699.99,67.07139
1766628000000,87700.0,87758.78,87563.87,87733.22,65.27736
1766629800000,87733.22,87967.5,87733.21,87892.66,141.73284
1766631600000,87892.66,87925.08,87780.0,87841.97,89.34531
1766633400000,87841.97,87861.58,87767.84,87840.42,55.86143
1766635200000,87840.42,87843.38,87743.0,87749.7,73.58092
1766637000000,87749.71,87827.03,87749.71,87773.33,59.00129
1766638800000,87773.34,87773.34,87661.17,87711.79,120.16391
1766640600000,87711.79,87787.92,87711.79,87750.55,51.82854
1766642400000,87750.56,87772.0,87692.67,87754.47,50.97964
1766644200000,87754.48,87842.53,87754.47,87836.42,71.23327
1766646000000,87836.43,87836.43,87780.5,87809.95,58.36814
1766647800000,87809.95,87862.2,87755.94,87837.59,83.52852
1766649600000,87837.59,87888.0,87351.96,87446.54,263.86849
1766651400000,87446.54,87631.25,87419.14,87584.65,197.32198
1766653200000,87584.65,87603.78,87450.01,87490.27,155.0584
1766655000000,87490.28,87542.56,87451.77,87526.48,163.41446
1766656800000,87526.47,87533.36,87361.53,87415.69,129.42922
1766658600000,87415.69,87421.93,87251.6,87414.14,147.44592
1766660400000,87414.15,87566.0,87414.14,87556.32,80.35139
1766662200000,87556.32,87591.32,87481.69,87519.44,66.8623
1766664000000,87519.45,87578.29,87476.49,87566.0,77.45404
1766665800000,87565.99,87586.92,87492.65,87566.0,65.53468
1766667600000,87566.0,87566.0,87398.78,87514.24,164.75982
1766669400000,87514.24,87683.87,87474.84,87638.25,205.35802
1766671200000,87638.25,87730.38,87550.0,87575.22,172.62798
1766673000000,87575.21,87759.33,87569.63,87718.21,110.29118
1766674800000,87718.22,88219.25,87714.0,88077.14,375.02559
1766676600000,88077.15,88592.74,87937.78,88371.27,762.42121
1766678400000,88371.27,88478.0,88158.0,88422.02,297.59683
1766680200000,88422.03,88462.22,87993.21,88086.72,236.1747
1766682000000,88086.73,88192.71,88000.32,88045.71,130.51813
1766683800000,88045.72,88211.18,88028.0,88139.08,73.45816
1766685600000,88139.07,88314.2,88139.07,88240.66,104.40558
1766687400000,88240.67,88314.37,88150.01,88241.26,89.14313
1766689200000,88241.26,88249.51,88077.14,88114.22,63.0598
1766691000000,88114.23,88158.83,88075.99,88151.18,45.19023
1766692800000,88151.19,88167.65,87650.0,87770.45,159.46404
1766694600000,87770.45,87900.0,87702.0,87892.69,128.1465
1766696400000,87892.69,87982.98,87820.0,87958.19,88.75846
1766698200000,87958.19,87979.91,87872.68,87901.21,56.14816
1766700000000,87901.22,87915.1,87792.67,87842.85,129.60407
1766701800000,87842.86,87901.41,87311.0,87650.0,329.586
1766703600000,87649.99,87771.01,87463.76,87491.0,297.01678
1766705400000,87491.0,87491.01,86934.72,87225.27,509.54062
1766707200000,87225.27,87320.1,86946.75,87069.45,344.81882
1766709000000,87069.46,87221.76,86891.7,87120.0,228.40965
1766710800000,87119.99,87382.24,87119.99,87342.38,155.69076
1766712600000,87342.38,87500.0,87305.67,87432.26,77.05664
1766714400000,87432.26,89297.64,87416.04,89020.13,1581.50737
1766716200000,89020.13,89440.0,89020.13,89199.99,1242.0388
1766718000000,89200.0,89289.99,88735.64,88839.88,754.88785
1766719800000,88839.89,88888.0,88714.36,88844.87,580.21589
1766721600000,88844.88,88844.88,88516.73,88713.66,248.24271
1766723400000,88713.65,89153.17,88713.65,88969.24,312.99169
1766725200000,88969.24,89014.0,88846.83,88915.78,142.16114
1766727000000,88915.78,89045.71,88828.06,88996.58,139.06654
1766728800000,88996.58,89161.54,88996.58,89081.26,214.70181
1766730600000,89081.26,89250.0,89049.56,89124.24,298.07316
1766732400000,89124.24,89567.75,89124.23,89422.18,462.58546
1766734200000,89422.18,89422.18,88347.45,88470.75,1336.65357
1766736000000,88470.75,88886.0,88414.81,88725.5,335.94212
1766737800000,88725.5,88748.11,88564.78,88742.28,113.9182
1766739600000,88742.28,88863.02,88649.63,88744.02,203.1683
1766741400000,88744.02,88918.59,88722.43,88811.76,160.18032
1766743200000,88811.77,88882.01,88690.52,88820.93,129.19824
1766745000000,88820.93,88860.0,88680.0,88748.34,115.85949
1766746800000,88748.35,88754.69,88603.54,88603.55,99.49576
