ts	sig	net	gross	reason
1753542600000	long	1.4340971677768755	7.330061167776876	TP
1753551600000	long	-0.7775062679565155	5.121993732043484	TP
1753553700000	long	-1.3487269699919757	4.549821030008025	TP
1753605600000	short	-1.317470880287547	4.584993119712453	TP
1753608900000	short	-1.5180684179238781	4.378440082076122	TP
1753610100000	short	-1.3417099997871595	4.555486000212841	TP
1753620300000	short	-0.3953258031967124	5.504583196803288	TP
1753648200000	long	3.9300043140914402	9.87363981409144	TP
1753657800000	long	6.386556727845862	12.347956227845863	TP
1753687500000	short	5.243044860622585	11.196438860622585	TP
1753689600000	short	4.7036981244112175	10.650353624411219	TP
1753699500000	short	3.9573475384237353	9.894558538423736	TP
1753702500000	short	4.205908148003385	10.142474148003386	TP
1753709100000	short	6.762386850977773	12.692852350977773	TP
1753709700000	short	11.004292527118544	16.944464527118544	TP
1753713300000	short	17.325368308293985	23.235368308293985	TP
1753723200000	short	9.196605070466397	15.088766570466397	TP
1753726800000	short	9.71033279731375	15.59033279731375	TP
1753755600000	short	9.556960289008998	15.441123789008998	TP
1753783200000	long	-16.42462158518012	-10.48673208518012	SL
1753784100000	short	5.223494426800926	11.156567926800927	TP
1753820100000	short	12.705797756144099	18.5900702561441	TP
1753838400000	short	-17.830836629788738	-11.953282629788738	SL
1753852500000	short	4.198034006639049	10.090837006639049	TP
1753878000000	short	10.319349173401715	16.208748673401715	TP
1753904400000	short	20.543029510341412	26.380029510341412	TP
1753941000000	long	-0.3893972971598325	5.527184702840168	TP
1753959300000	long	-11.922896511514566	-5.997645511514566	SL
1753960500000	long	0.18645637355090638	6.1100318735509065	TP
1753961700000	short	-12.382887788122396	-6.462279788122396	SL
1753972500000	short	-1.8066524999998839	4.097000000000117	Timeout
1753986000000	short	-25.376839738541776	-19.490731238541777	SL
1753998900000	short	12.50909581622388	18.33594381622388	TP
1754001600000	short	11.451458359511523	17.262158359511524	TP
1754002800000	short	11.8160224090477	17.6222749090477	TP
1754007300000	short	16.999929117823704	22.791974117823703	TP
1754009700000	short	24.71953193786104	30.490895437861038	TP
1754032500000	short	9.402724660966069	15.15845116096607	TP
1754034900000	short	10.860550610212737	16.61463911021274	TP
1754036100000	short	13.409098477165546	19.146368977165547	TP
1754067900000	short	22.599227472885783	28.340019972885784	TP
1754069400000	short	23.339037750179855	29.079635250179855	TP
1754070300000	short	23.953423609563654	29.680526109563655	TP
1754076600000	short	23.553671301489402	29.241744801489403	TP
1754077500000	short	-8.857246500000581	-3.1850000000005823	Timeout
1754078400000	short	-36.49559175749101	-30.82554175749101	SL
1754088900000	short	22.14621198554115	27.80326448554115	TP
1754117100000	short	2.6837042744512587	8.366944774451259	TP
1754130000000	short	2.2722636486342767	7.952264148634277	TP
1754141400000	short	2.985419904470585	8.657808904470585	TP
1754151300000	short	7.32744007093877	12.97338707093877	TP
1754177400000	short	-19.98616492190717	-14.366250421907171	SL
1754181300000	short	12.80222594664374	18.41912544664374	TP
1754195400000	long	4.419893248500165	10.087794748500166	TP
1754230200000	long	4.304493979082847	9.995926479082847	TP
1754258700000	long	3.6717305858845677	9.383040085884568	TP
1754273100000	long	6.934018207579138	12.655750707579138	TP
1754314200000	short	2.817376104888597	8.528685604888597	TP
1754334600000	long	6.254268215424437	12.002841715424438	TP
1754337900000	short	5.59205470682303	11.33174970682303	TP
1754351100000	long	2.4635004628317407	8.218797962831742	TP
1754352300000	short	3.2668099529472574	9.018988952947257	TP
1754359200000	short	3.821789543865121	9.56033954386512	TP
1754366700000	short	2.5734780612902357	8.290678061290237	TP
1754379600000	short	6.254494470638328	11.957794470638328	TP
1754396700000	short	7.029204444531317	12.755704944531317	TP
1754431500000	short	6.643871040276392	12.324771040276392	TP
1754440200000	long	2.175947217023971	7.8700902170239715	TP
1754444100000	short	5.311003408815916	10.997247908815917	TP
1754449500000	short	5.712782666012985	11.393022666012985	TP
1754451300000	short	-15.894960527759434	-10.220139027759434	SL
1754453700000	short	-4.032837000000059	1.6389999999999418	Timeout
1754469000000	long	3.406423127768676	9.104135127768677	TP
1754475300000	long	5.4035124328572275	11.101722932857228	TP
1754511000000	long	-15.298886988787682	-9.537927488787682	SL
1754515800000	long	1.3685841468833857	7.119384146883386	TP
1754521200000	long	0.9627628183915222	6.714632318391523	TP
1754525400000	short	-1.098961216770105	4.648122283229895	TP
1754527800000	short	-10.70471057380678	-4.9600010738067795	SL
1754532300000	short	2.81084435226561	8.55074435226561	TP
1754590200000	long	10.399042737562567	16.209900737562567	TP
1754633400000	short	0.2760189042049763	6.104238904204976	TP
1754642700000	short	-14.253997124900952	-8.427288124900953	SL
1754650200000	short	0.961901918482341	6.787968418482342	TP
1754695500000	long	-0.9438249143733985	4.896175085626601	TP
